"Gene","Direction","Count","Files"
"MAFG","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MAK16","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MANF","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MAP3K13","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MAP7","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MARCH5","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MAT2A","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MAZ","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MBD2","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MBNL1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MDH1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MDH2","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MDN1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MED19","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MED6","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"METTL1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MGRN1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MGST3","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MLL3","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MLX","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MMP7","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MNF1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MOB3B","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MORC3","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MPV17L","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MRPL17","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MRPL24","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MRPL3","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MRPL33","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MRPL37","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MRPL39","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MRPL40","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MRPL46","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MRPL50","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MRPS15","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MRPS18B","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MRPS28","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MRPS31P3","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MSANTD4","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MSC","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MSL3","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MSRB1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MYC","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
