"","ex2_GFP_Rep1_Chip21","ex2_GFP_Rep2_Chip21","ex2_GFP_polyIC_Rep1_Chip21","ex2_GFP_polyIC_Rep2_Chip21","ex2_NS5_Rep1_Chip21","ex2_NS5_Rep2_Chip21","ex2_NS5_polyIC_Rep1_Chip21","ex2_NS5_polyIC_Rep2_Chip21"
"MAT2B",7.074216,7.078717,6.898639,6.948797,6.979133,6.906116,7.404965,7.536525
"C1RL.AS1",0.8457114,1.363927,2.406344,2.187849,2.014056,2.35805,2.35009,1.907858
"MATN2",4.889323,5.024006,3.643321,3.563069,4.583316,4.612444,4.66901,4.069511
"MATN3",5.022805,5.189936,4.566105,4.272012,4.799729,4.823373,5.293948,5.201261
"MATR3",8.141386,8.154936,8.008978,8.03683,8.054178,8.078791,8.107016,8.056213
"MAU2",4.407033,4.250492,4.241747,4.534261,4.197184,4.16993,3.792663,4.031914
"MAVS",5.151418,5.017615,4.970843,4.696479,4.925123,4.598807,4.003997,3.940383
"MAX",5.160148,5.120266,5.280142,5.360088,5.667465,5.537112,5.3056,5.288659
"MAZ",7.372288,7.424648,7.321652,7.421628,7.769747,7.100387,6.56819,7.382133
"MB",3.580751,3.62,2.583145,1.940114,3.465182,2.609871,2.770041,2.413885
"MB21D1",4.29138,4.610753,5.188803,4.940012,4.679634,4.591173,5.230215,5.125548
"MB21D2",3.552718,3.980426,5.059308,5.17106,4.5971,4.215173,4.745227,4.886484
"MBD1",4.059667,4.610753,4.546763,4.322672,4.042207,4.16993,4.479554,4.632634
"MBD2",6.074191,6.158434,6.008869,5.980945,5.868514,5.801006,6.619782,6.763981
"MBD3",2.223322,2.301145,2.914604,2.533553,1.574316,2.024269,1.719667,2.014056
"MBD4",5.447261,5.046788,5.068596,5.247794,4.868182,4.771323,6.068634,5.903211
"MBD6",4.391296,4.383526,4.796794,4.449478,4.510814,4.664109,4.10619,4.158288
"MBIP",4.889323,4.997126,5.301308,4.904483,5.018926,5.294994,5.623232,5.722258
"MBLAC2",2.920331,2.413885,2.406344,2.689006,2.467726,2.436422,2.533553,2.413885
"MBNL1",6.001105,5.986875,5.529484,5.644034,5.96982,5.750282,5.28759,5.402363
"MBNL2",6.648197,6.335674,6.28129,6.474233,6.772403,7.006042,6.482877,6.366571
"MBOAT1",2.083788,2.35009,2.682769,2.270952,2.406344,1.427256,2.875747,2.533553
"MBOAT2",5.032979,5.356131,3.825191,4.322672,5.029128,4.996456,4.337111,4.698064
"MBOAT7",7.191426,7.180421,7.240478,6.924499,7.060437,7.196559,6.151763,6.13066
"MBP",3.945671,4.449478,4.355481,4.486815,4.289098,4.530806,4.316466,4.127663
"MBTD1",4.650954,4.894772,4.649186,4.718796,4.679634,5.040513,4.215173,4.410971
"MBTPS1",5.852158,5.818732,5.576208,5.728578,5.782272,5.690067,5.003527,5.184246
"MBTPS2",5.696077,5.536649,5.475542,5.315939,5.909073,5.288659,4.785592,4.922311
"MCAM",3.19832,2.169916,2.77637,2.938954,3.344444,3.461304,2.669596,2.589845
"SLC25A51",4.519862,4.302873,4.178967,4.176765,4.021907,4.16993,4.067099,3.993392
"MCAT",3.580751,3.264204,3.580751,3.874061,3.220774,3.352423,4.197184,3.961858
"MCCC1",3.368234,3.327394,2.829737,2.892179,3.220774,2.770041,3.20744,2.989329
"MCCC2",6.281015,6.034328,5.943814,5.770134,6.04563,6.440571,5.934385,5.883342
"MCEE",4.236172,3.469166,2.727015,3.703481,3.651561,3.430815,4.507996,4.269882
"MCFD2",6.221446,6.250668,5.882296,5.644034,6.113396,5.406726,5.58143,5.81579
"MCL1",6.419039,6.259334,7.228962,7.086596,6.680059,6.6752,7.269492,7.036612
"MCM10",4.534261,4.581675,5.110691,5.293948,4.36753,4.530806,5.003527,5.193347
"MCM2",3.580751,3.93234,4.228455,3.826554,3.677756,3.090202,4.265808,4.53342
"MCM3",5.090093,5.340733,5.876664,5.927226,5.327395,5.090093,5.702466,5.584909
"MCM3AP",3.778009,3.913395,3.983018,3.79874,3.677756,3.624881,3.516924,3.352423
"MCM4",6.691322,6.721594,6.797862,6.797128,6.181129,6.181129,7.068616,7.026996
